category,sub_category,product_type,,
Bath & Body,Hands & Feet,Hand Wash,,
Bath & Body,Hands & Feet,Hand Creams & Masks,,
Bath & Body,Hands & Feet,Foot Care,,
Bath & Body,Hands & Feet,Manicure Pedicure Tools & Kits,,
Bath & Body,Hygiene Essentials,Face Mask,,
Bath & Body,Hygiene Essentials,Hand Sanitizer,,
Bath & Body,Hygiene Essentials,"Gloves, PPE & Face Shields",,
Bath & Body,Oral Care,Toothpaste,,
Bath & Body,Oral Care,Electric Toothbrush,,
Bath & Body,Oral Care,Manual Toothbrush,,
Bath & Body,Oral Care,Mouthwash,,
Bath & Body,Oral Care,Floss & Tongue Cleaners,,
Mom & Baby,Baby Care,Body Wash & Soaps,,
Mom & Baby,Baby Care,Baby Oil,,
Mom & Baby,Baby Care,Hair Oil,,
Mom & Baby,Baby Care,Lotions & Creams,,
Mom & Baby,Baby Care,Baby Powder,,
Mom & Baby,Baby Care,Shampoo & Conditioner,,
Mom & Baby,Baby Care,Sunscreen,,
Mom & Baby,Baby Care,Wipes & Buds,,
Mom & Baby,Baby Care,Teeth & Dental Care,,
Mom & Baby,Baby Care,Rash Cream,,
Mom & Baby,Baby Care,Diapers,,
Mom & Baby,Baby Care,Diaper Accessories,,
Mom & Baby,Baby Care,Bath Accessories,,
Mom & Baby,Baby Care,Baby Grooming,,
Mom & Baby,Baby Care,Baby Bedding,,
Mom & Baby,Maternity Care,Stretch Mark Creams & Oils,,
Mom & Baby,Maternity Care,Breast Firming Gels & Creams,,
Mom & Baby,Maternity Care,Nipple Creams,,
Mom & Baby,Maternity Care,Nutritional Supplements,,
Mom & Baby,Kids Care,Nutritional Supplement,,
Mom & Baby,Kids Care,Body Wash & Soaps,,
Mom & Baby,Kids Care,Lotions & Creams,,
Mom & Baby,Kids Care,Hair Care,,
Mom & Baby,Kids Care,Sunscreen,,
Mom & Baby,Kids Care,Dental Care,,
Mom & Baby,Kids Care,Kids Makeup,,
Mom & Baby,Nursing & Feeding,Feeding Bottle & Nipples,,
Mom & Baby,Nursing & Feeding,Teethers & Soothers,,
Mom & Baby,Nursing & Feeding,Breast Pumps,,
Mom & Baby,Nursing & Feeding,Breast Pads,,
Mom & Baby,Nursing & Feeding,Cleaning & Feeding Accessories,,
Mom & Baby,Nursing & Feeding,Bibs,,
Mom & Baby,Nursing & Feeding,Sippers & Cups,,
Health & Wellness,Health Supplements,Multivitamins,,
Health & Wellness,Health Supplements,Calcium & Vitamin D,,
Health & Wellness,Health Supplements,Magnesium & Zinc,,
Health & Wellness,Health Supplements,Omega 3 & Fish Oil,,
Health & Wellness,Health Supplements,Immunity Boosters & Vitamin C,,
Health & Wellness,Health Supplements,Other Supplements,,
Health & Wellness,Beauty Supplements,Collagen,,
Health & Wellness,Beauty Supplements,Biotin,,
Health & Wellness,Beauty Supplements,Vitamin E,,
Health & Wellness,Beauty Supplements,Glutathione,,
Health & Wellness,Beauty Supplements,Other Beauty Supplements,,
Health & Wellness,Beauty Supplements,Immunity Boosters & Vitamin C,,
Health & Wellness,Beauty Supplements,Other Supplements,,
Health & Wellness,Sports Nutrition,Whey Protein,,
Health & Wellness,Sports Nutrition,Plant Protein,,
Health & Wellness,Sports Nutrition,BCAA & Other Muscle Support,,
Health & Wellness,Sports Nutrition,Protein & Energy Bars,,
Health & Wellness,Sports Nutrition,Protein Snacks,,
Health & Wellness,Weight Management,Weight Gain,,
Health & Wellness,Weight Management,Apple Cider Vinegar,,
Health & Wellness,Weight Management,Green Tea,,
Health & Wellness,Weight Management,Green Coffee,,
Health & Wellness,Weight Management, ,,
Health & Wellness,Weight Management,Slimming Shakes & Juices,,
Health & Wellness,Weight Management,Sugar Substitutes,,
Health & Wellness,Weight Management,Protein Snacks,,
Health & Wellness,Health Foods,Honey,,
Health & Wellness,Health Foods,"Dry Fruits, Nuts & Berries",,
Health & Wellness,Health Foods,Edible Seeds,,
Health & Wellness,Health Foods,Oils & Ghee,,
Health & Wellness,Health Foods,Black Tea & Coffee,,
Health & Wellness,Health Foods,Herbal Teas,,
Health & Wellness,Health Foods,Health Drinks,,
Health & Wellness,Health Foods,Breakfast Cereals,,
Health & Wellness,Health Foods,Other Health Food,,
